timestamp,mem_used_MiB,mem_total_MiB,gpu_util,mem_util,power_W,temp_C
2026/04/20 08:58:55.387, 31104, 32607, 0, 22, 15.41, 29
2026/04/20 08:58:56.412, 31104, 32607, 0, 28, 15.52, 29
2026/04/20 08:58:57.438, 31104, 32607, 0, 21, 15.34, 30
2026/04/20 08:58:58.463, 31104, 32607, 0, 19, 15.39, 29
2026/04/20 08:58:59.488, 31104, 32607, 0, 26, 15.43, 29
2026/04/20 08:59:00.513, 31104, 32607, 0, 19, 15.41, 30
2026/04/20 08:59:01.537, 31104, 32607, 0, 23, 15.38, 29
2026/04/20 08:59:02.562, 31104, 32607, 0, 25, 15.40, 29
2026/04/20 08:59:03.587, 31104, 32607, 0, 21, 15.48, 30
2026/04/20 08:59:04.611, 31104, 32607, 0, 18, 15.46, 29
2026/04/20 08:59:05.636, 31104, 32607, 0, 26, 15.47, 30
2026/04/20 08:59:06.659, 31104, 32607, 0, 20, 15.41, 29
2026/04/20 08:59:07.682, 31104, 32607, 0, 21, 15.30, 29
2026/04/20 08:59:08.706, 31104, 32607, 0, 23, 15.40, 30
2026/04/20 08:59:09.730, 31104, 32607, 0, 23, 15.39, 29
2026/04/20 08:59:10.754, 31104, 32607, 0, 18, 15.49, 29
2026/04/20 08:59:11.779, 31104, 32607, 0, 18, 15.51, 30
2026/04/20 08:59:12.804, 31104, 32607, 0, 22, 15.55, 29
2026/04/20 08:59:13.829, 31104, 32607, 0, 24, 15.45, 30
2026/04/20 08:59:14.854, 31104, 32607, 0, 22, 15.48, 29
2026/04/20 08:59:15.878, 31104, 32607, 0, 24, 15.54, 30
2026/04/20 08:59:16.902, 31104, 32607, 0, 24, 15.52, 30
2026/04/20 08:59:17.927, 31104, 32607, 0, 24, 15.39, 29
2026/04/20 08:59:18.951, 31104, 32607, 0, 20, 15.35, 29
2026/04/20 08:59:19.975, 31104, 32607, 0, 19, 15.40, 30
2026/04/20 08:59:21.000, 31104, 32607, 0, 23, 15.39, 29
2026/04/20 08:59:22.024, 31104, 32607, 0, 18, 15.28, 30
2026/04/20 08:59:23.047, 31104, 32607, 0, 23, 15.40, 29
2026/04/20 08:59:24.071, 31104, 32607, 0, 25, 15.38, 30
2026/04/20 08:59:25.096, 31104, 32607, 0, 21, 15.36, 30
2026/04/20 08:59:26.120, 31104, 32607, 0, 26, 15.51, 29
2026/04/20 08:59:27.146, 31104, 32607, 0, 17, 15.42, 30
2026/04/20 08:59:28.171, 31104, 32607, 0, 21, 15.28, 29
2026/04/20 08:59:29.196, 31104, 32607, 0, 16, 15.29, 30
2026/04/20 08:59:30.221, 31104, 32607, 0, 18, 15.27, 30
2026/04/20 08:59:31.245, 31104, 32607, 0, 25, 15.41, 30
2026/04/20 08:59:32.270, 31104, 32607, 0, 22, 15.42, 30
2026/04/20 08:59:33.296, 31104, 32607, 0, 16, 15.46, 29
2026/04/20 08:59:34.320, 31104, 32607, 0, 22, 15.43, 30
2026/04/20 08:59:35.346, 31104, 32607, 0, 22, 15.49, 30
2026/04/20 08:59:36.370, 31104, 32607, 0, 20, 15.52, 29
2026/04/20 08:59:37.395, 31104, 32607, 0, 23, 15.47, 30
2026/04/20 08:59:38.420, 31104, 32607, 0, 25, 15.38, 30
2026/04/20 08:59:39.445, 31104, 32607, 0, 23, 15.40, 30
2026/04/20 08:59:40.469, 31104, 32607, 0, 24, 15.44, 30
2026/04/20 08:59:41.494, 31104, 32607, 0, 19, 15.46, 29
2026/04/20 08:59:42.519, 31104, 32607, 0, 22, 15.68, 30
2026/04/20 08:59:43.543, 31104, 32607, 0, 22, 15.59, 30
2026/04/20 08:59:44.567, 31104, 32607, 0, 20, 15.68, 30
2026/04/20 08:59:45.592, 31104, 32607, 0, 26, 15.65, 30
2026/04/20 08:59:46.616, 31104, 32607, 0, 25, 15.51, 30
2026/04/20 08:59:47.640, 31104, 32607, 0, 23, 15.52, 30
2026/04/20 08:59:48.665, 31104, 32607, 0, 25, 15.49, 30
2026/04/20 08:59:49.690, 31104, 32607, 0, 19, 15.31, 29
2026/04/20 08:59:50.714, 31104, 32607, 0, 21, 15.37, 30
2026/04/20 08:59:51.738, 31104, 32607, 0, 18, 15.55, 30
2026/04/20 08:59:52.763, 31104, 32607, 0, 21, 15.54, 29
2026/04/20 08:59:53.787, 31104, 32607, 0, 19, 15.58, 30
2026/04/20 08:59:54.811, 31104, 32607, 0, 21, 15.38, 30
